ID	NOME
tVswWkXpzLJyw64l1UgD	Arroz Integral
tYCgbEXUnyrmOi8cE6Nb	R. Berinjela
u3JkM9cKDUc9bbkYJbDT	Bolo de Fubá
u66nxmAG0rWvY6RbIj8f	Lasanha de Panqueca
uHpSYPRCNfe5LOK9TtNe	Quiche Alho Poró
uIo3rYjRH2kzjTVnDHKN	Berinjela Recheada
uK8D3mc9QboyHap0CoMj	R. Chapéu de Padre
uOsTk1rgmwoWqhcnTPyS	Espetinho de Frango e Bacon
uSf3Mqg6YQDZkF55WdF4	Iscas de Carne Grelhada
uUCdGK1Hp6uJehPHxDXm	Filé de Frango com Mostarda
upTz0WvYj0r780muysar	Strogonoff de Frango
v7uXKm17SLY58LEzay3G	Isca de Carne
vT3g1wVAhgf8KEFfrsG3	S. Cabotiá
vc6Oltx9hn82s1TAM6Yl	Creme de Mandioca
vovudQY56IXTGUxkyYcf	Berinjela Napolitana
vqH6rtHaqdoE4z65rNv5	Esfiha de Carne
w9WxpAh9jir7U61IvYo4	Ovos cozidos
wBWq9AryV6whVD8W9qVg	Bisteca Grelhada com Ervas Finas
wFbHU3r1sMPAHmm9qTvi	Toscana Assada
wtmyhKIuULakQoto28ik	Bife à Rolê
wyJzSLzOFk3i5tQ6mcon	Strogonoff de Carne
xIWtg68E3VZLpTFiHtqt	Farofa com carne seca
xZCg6NWF7dtTWVnZkOrL	Carne Moída com Cenoura
xpo2PbBau3btZPPgarOP	Farofa de ovos
yIW1mcMyihS4mYvzC9k5	Toscana Recheada
yPyNw8BWAVeOymmk3bF4	Farofa de cebola com alho
yyTeyvOOAJ7za18fZwbo	Bolo Mesclado
z9VD2LAgiOCA6ZiLPBzC	Lasanha Presunto e Queijo
zJf1aiJsybXxSTdHIYuA	Hambúrguer Pizzaiolo
zJwLBmJATZJEH69AK7Tw	Carne com Mandioca
zZIsmnE1u5oVcaFFK9Hg	Iscas de Frango à Milanesa
zhjdIaTuL8qzHznvXw9i	Maminha ao Molho
zsPFAOxAkZKhgCB2VMhi	Bife Acebolado
